pro_cd_proposta|valor_causa|valor_envolvido|valor_pago|flag_valor_causa|flag_valor_envolvido|flag_valor_pago
739677|13000.00|9500.00|0.00|1|1|0
483627|39920.00|5000.00|6185.06|1|1|1
1528755|21270.97|5000.00|0.00|1|1|0
2075716|10000.00|9000.00|0.00|1|1|0
3496103|0.00|0.00|0.00|0|0|0
2134828|40000.00|0.00|0.00|1|0|0
2520373|1242.44|5000.00|5101.67|1|1|1
533571|16296.33|8000.00|0.00|1|1|0
1258646|0.00|0.00|0.00|0|0|0
936586|18000.00|0.00|0.00|1|0|0
128758|1533.00|0.00|0.00|1|0|0
128758|1533.00|4000.00|0.00|1|1|0
3323083|19960.00|3000.00|3000.00|1|1|1
2741560|10000.00|0.00|0.00|1|0|0
2340000|20898.47|0.00|0.00|1|0|0
1997701|10324.10|0.00|0.00|1|0|0
728311|49998.17|0.00|0.00|1|0|0
749113|10000.00|0.00|0.00|1|0|0
749113|10000.00|0.00|0.00|1|0|0
1593608|20000.00|3000.00|0.00|1|1|0
1923016|10000.00|0.00|0.00|1|0|0
3763441|0.00|0.00|0.00|0|0|0
434711|75000.00|5500.00|0.00|1|1|0
434711|0.00|0.00|0.00|0|0|0
1541431|0.00|0.00|0.00|0|0|0
1768821|11156.00|0.00|0.00|1|0|0
1294194|10000.00|4000.00|4874.51|1|1|1
1541158|9540.00|4200.00|4200.00|1|1|1
448235|6302.68|5000.00|0.00|1|1|0
149180|15000.00|0.00|0.00|1|0|0
3050264|38602.23|0.00|0.00|1|0|0
243280|0.00|0.00|0.00|0|0|0
243280|19499.07|1949.90|1949.90|1|1|1
243280|0.00|0.00|0.00|0|0|0
234332|6000.00|3000.00|0.00|1|1|0
1627342|21000.00|7000.00|0.00|1|1|0
3248316|12000.00|5000.00|5075.00|1|1|1
2327381|20000.00|0.00|0.00|1|0|0
2327381|0.00|0.00|0.00|0|0|0
297022|15000.00|5000.00|6090.00|1|1|1
664355|10000.00|0.00|0.00|1|0|0
1610907|16298.58|8000.00|0.00|1|1|0
254540|29940.00|0.00|0.00|1|0|0
1639314|15699.53|0.00|0.00|1|0|0
1783526|9000.00|0.00|0.00|1|0|0
1783526|0.00|0.00|0.00|0|0|0
656232|51165.72|0.00|0.00|1|0|0
745392|20000.00|3725.41|3725.41|1|1|1
1361348|15000.00|8000.00|0.00|1|1|0
143116|15000.00|3000.00|3000.00|1|1|1
3134865|12000.00|0.00|0.00|1|0|0
3134865|15000.00|4000.00|0.00|1|1|0
249060|15000.00|1000.00|0.00|1|1|0
1622397|25000.00|5000.00|0.00|1|1|0
2395755|31059.35|0.00|0.00|1|0|0
3697829|10000.00|0.00|0.00|1|0|0
2040484|14546.02|3000.00|3000.00|1|1|1
2156701|21935.57|5000.00|0.00|1|1|0
157893|38160.00|1000.00|1000.00|1|1|1
2985185|24000.00|1000.00|1000.00|1|1|1
2059739|20000.00|20000.00|0.00|1|1|0
5125620|0.00|0.00|0.00|0|0|0
1951168|30000.00|3000.00|3160.00|1|1|1
140754|61165.08|0.00|0.00|1|0|0
2556158|49900.00|0.00|0.00|1|0|0
419865|28054.71|10000.00|6800.00|1|1|1
1358734|22033.39|0.00|0.00|1|0|0
1314896|10000.00|2800.00|3318.68|1|1|1
1662450|19920.96|4768.00|4500.00|1|1|1
1974131|20000.00|0.00|0.00|1|0|0
184835|0.00|0.00|0.00|0|0|0
184835|0.00|0.00|0.00|0|0|0
10378|12850.16|3800.00|3800.00|1|1|1
3256079|20000.00|0.00|0.00|1|0|0
1349786|1000.00|0.00|0.00|1|0|0
1541684|10000.00|2200.00|2200.00|1|1|1
2226167|19960.00|5500.00|0.00|1|1|0
3244489|31871.65|5000.00|0.00|1|1|0
462402|10000.00|0.00|0.00|1|0|0
1302613|0.00|0.00|0.00|0|0|0
1305178|19960.00|4000.00|4000.00|1|1|1
2290700|11268.75|4000.00|4000.00|1|1|1
418576|0.00|0.00|0.00|0|0|0
1595040|0.00|0.00|0.00|0|0|0
2104926|6230.97|7700.00|0.00|1|1|0
1379831|0.00|0.00|0.00|0|0|0
1379831|0.00|0.00|0.00|0|0|0
1445793|25000.00|6000.00|0.00|1|1|0
1412202|15000.00|3500.00|0.00|1|1|0
152682|30000.00|4000.00|0.00|1|1|0
521690|10000.00|7128.58|7128.58|1|1|1
2548207|15000.00|0.00|0.00|1|0|0
792578|10000.00|0.00|0.00|1|0|0
1702372|15000.00|0.00|0.00|1|0|0
353293|20000.00|2000.00|0.00|1|1|0
2056137|19080.00|6000.00|6382.83|1|1|1
670626|37000.00|3000.00|3360.00|1|1|1
4388927|21183.38|0.00|0.00|1|0|0
1887501|15000.00|0.00|0.00|1|0|0
1985394|15000.00|0.00|0.00|1|0|0
62510|3209.74|2000.00|2304.11|1|1|1
3303023|39920.00|0.00|0.00|1|0|0
1589330|33845.02|5336.25|5336.25|1|1|1
2827995|20000.00|5000.00|5431.67|1|1|1
3323003|6000.00|0.00|0.00|1|0|0
2995247|19960.00|0.00|0.00|1|0|0
1779496|11976.00|10000.00|0.00|1|1|0
398550|15000.00|6500.00|7583.87|1|1|1
192093|19080.00|2000.00|2000.00|1|1|1
3067430|1000.00|0.00|0.00|1|0|0
552570|10000.00|0.00|0.00|1|0|0
1534129|14593.50|3000.00|3000.00|1|1|1
1534129|0.00|0.00|0.00|0|0|0
2609676|29868.98|4000.00|4000.00|1|1|1
2609676|0.00|0.00|0.00|0|0|0
3821471|16137.04|4000.00|0.00|1|1|0
762625|16000.00|4000.00|4847.39|1|1|1
1392531|15000.00|4000.00|4128.10|1|1|1
331016|15020.00|10000.00|0.00|1|1|0
4600709|1191.01|0.00|0.00|1|0|0
85283|20000.00|0.00|0.00|1|0|0
1628172|19960.00|1000.00|1000.00|1|1|1
466068|23289.99|5000.00|5940.00|1|1|1
121666|79943.70|6600.00|0.00|1|1|0
1606967|49900.00|0.00|0.00|1|0|0
372714|13881.00|4000.00|4756.23|1|1|1
1361075|15000.00|0.00|0.00|1|0|0
1178|5000.00|1000.00|1000.00|1|1|1
522767|7298.39|1000.00|1000.00|1|1|1
2954246|10000.00|0.00|0.00|1|0|0
1838371|19000.00|3000.00|0.00|1|1|0
1850694|15000.00|0.00|0.00|1|0|0
18596|20000.00|5500.00|7695.35|1|1|1
770860|19080.00|9980.00|9163.05|1|1|1
2581635|25119.90|9980.00|0.00|1|1|0
2588811|0.00|0.00|0.00|0|0|0
1745573|1000.00|11500.00|0.00|1|1|0
2725538|15000.00|10000.00|0.00|1|1|0
4106246|7000.00|2200.00|2200.00|1|1|1
299515|15000.00|1000.00|1000.00|1|1|1
4049376|10000.00|0.00|0.00|1|0|0
1369623|10757.70|0.00|0.00|1|0|0
2601318|0.00|0.00|0.00|0|0|0
2601318|0.00|0.00|0.00|0|0|0
4087520|10000.00|0.00|0.00|1|0|0
3325908|20000.00|0.00|0.00|1|0|0
1715279|38160.00|1000.00|1000.00|1|1|1
244413|20000.00|5000.00|0.00|1|1|0
1455540|15000.00|0.00|0.00|1|0|0
1455540|15000.00|0.00|0.00|1|0|0
1210463|31250.16|2000.00|2000.00|1|1|1
1135|39193.12|0.00|0.00|1|0|0
2586463|10000.00|0.00|0.00|1|0|0
3581413|11232.81|4000.00|4000.00|1|1|1
2929757|10000.00|7200.00|0.00|1|1|0
1655692|19080.00|2000.00|3207.17|1|1|1
423206|10000.00|6000.00|6000.00|1|1|1
927467|998.00|2000.00|2000.00|1|1|1
331346|21334.51|5000.00|2028.66|1|1|1
440855|10000.00|2000.00|2585.53|1|1|1
1444656|23805.82|11500.00|0.00|1|1|0
2829581|0.00|0.00|0.00|0|0|0
525369|19707.90|0.00|0.00|1|0|0
1754230|12000.00|1000.00|1000.00|1|1|1
141964|10000.00|0.00|0.00|1|0|0
141964|0.00|0.00|0.00|0|0|0
76372|15000.00|1000.00|0.00|1|1|0
1192636|25000.00|0.00|0.00|1|0|0
929876|15000.00|10000.00|0.00|1|1|0
1552368|10000.00|1500.00|1500.00|1|1|1
1402335|13262.08|2200.00|2200.00|1|1|1
461046|15000.00|0.00|0.00|1|0|0
258699|12000.00|5000.00|5000.00|1|1|1
1228343|7417.55|0.00|0.00|1|0|0
1492387|10000.00|5000.00|0.00|1|1|0
122297|10000.00|12811.66|6930.00|1|1|1
876934|16349.30|5000.00|5000.00|1|1|1
1933566|39920.00|0.00|0.00|1|0|0
4097976|0.00|0.00|0.00|0|0|0
2200312|38000.00|2000.00|2000.00|1|1|1
2370465|19960.00|0.00|0.00|1|0|0
1966542|0.00|0.00|0.00|0|0|0
900893|20000.00|0.00|0.00|1|0|0
900893|20000.00|0.00|0.00|1|0|0
643781|14824.70|8000.00|9781.71|1|1|1
2334919|0.00|0.00|0.00|0|0|0
2334919|884.23|0.00|0.00|1|0|0
1838487|39920.00|0.00|0.00|1|0|0
580105|19080.00|5000.00|5000.00|1|1|1
223795|13287.50|5000.00|0.00|1|1|0
1920165|15000.00|2000.00|2205.33|1|1|1
57952|5458.30|2000.00|2722.76|1|1|1
250006|0.00|0.00|0.00|0|0|0
250006|0.00|0.00|0.00|0|0|0
250006|0.00|0.00|0.00|0|0|0
2517090|0.00|0.00|0.00|0|0|0
